	HOG	Cultivar	Landrace	Wild	Total
0	HOG0000010	19.0	20.0	10.0	25.0
1	HOG0000015	-	-	-	23.0
2	HOG0000021	-	-	10.0	17.0
3	HOG0000040	-	-	-	21.0
4	HOG0000047	-	-	22.0	-
5	HOG0000048	-	-	46.0	13.0
6	HOG0000058	-	44.0	13.0	161.0
7	HOG0000071	-	12.0	-	-
8	HOG0000086	-	-	15.0	-
9	HOG0000103	-	-	22.0	11.0
10	HOG0000107	-	-	10.0	13.0
11	HOG0000135	31.0	31.0	48.0	32.0
12	HOG0000140	10.0	-	21.0	13.0
13	HOG0000151	-	-	40.0	-
14	HOG0000153	26.0	16.0	44.0	57.0
15	HOG0000155	-	-	10.0	11.0
16	HOG0000171	28.0	38.0	25.0	31.0
17	HOG0000174	-	-	23.0	24.0
18	HOG0000180	40.0	83.0	128.0	100.0
19	HOG0000189	-	12.0	18.0	13.0
20	HOG0000197	-	14.0	17.0	15.0
21	HOG0000224	-	41.0	157.0	69.0
22	HOG0000235	26.0	30.0	58.0	49.0
23	HOG0000254	-	10.0	30.0	21.0
24	HOG0000261	-	-	20.0	18.0
25	HOG0000274	-	61.0	75.0	60.0
26	HOG0000276	-	13.0	-	-
27	HOG0000285	13.0	-	22.0	19.0
28	HOG0000291	52.0	54.0	76.0	58.0
29	HOG0000306	-	13.0	-	-
30	HOG0000308	-	29.0	-	28.0
31	HOG0000319	-	-	13.0	10.0
32	HOG0000324	-	30.0	10.0	28.0
33	HOG0000334	-	-	16.0	11.0
34	HOG0000335	-	14.0	12.0	-
35	HOG0000343	173.0	181.0	128.0	191.0
36	HOG0000345	-	-	10.0	-
37	HOG0000368	75.0	74.0	51.0	115.0
38	HOG0000369	17.0	-	64.0	43.0
39	HOG0000370	32.0	-	64.0	70.0
40	HOG0000377	128.0	229.0	220.0	225.0
41	HOG0000382	-	14.0	25.0	-
42	HOG0000386	-	-	16.0	10.0
43	HOG0000391	48.0	84.0	71.0	93.0
44	HOG0000394	20.0	44.0	72.0	83.0
45	HOG0000400	-	-	11.0	-
46	HOG0000401	-	-	28.0	-
47	HOG0000403	18.0	29.0	-	38.0
48	HOG0000405	-	-	16.0	-
49	HOG0000407	14.0	36.0	44.0	41.0
50	HOG0000418	10.0	-	13.0	-
51	HOG0000419	-	-	24.0	-
52	HOG0000429	-	17.0	18.0	14.0
53	HOG0000431	33.0	124.0	29.0	110.0
54	HOG0000452	10.0	-	-	-
55	HOG0000461	-	-	14.0	11.0
56	HOG0000462	-	-	13.0	-
57	HOG0000483	-	-	15.0	-
58	HOG0000524	-	25.0	37.0	45.0
59	HOG0000542	12.0	-	-	-
60	HOG0000565	-	-	22.0	-
61	HOG0000611	40.0	188.0	12.0	59.0
62	HOG0000630	13.0	14.0	26.0	29.0
63	HOG0000631	-	-	12.0	-
64	HOG0000639	-	-	-	11.0
65	HOG0000674	-	-	11.0	-
66	HOG0000676	-	-	16.0	-
67	HOG0000697	-	-	36.0	33.0
68	HOG0000751	28.0	30.0	209.0	107.0
69	HOG0000790	210.0	-	-	68.0
