"HOG","ID","Other_ID","Subclass","Status","gene_ID","Assembly_ID","ave_num"
"N0.HOG0000037","PiPR1","","NLR;CNL;ZfBED","Wild",8,8,1
"N0.HOG0000037","PiPR1","","NLR;CNL;ZfBED","Landrace",23,23,1
"N0.HOG0000037","PiPR1","","NLR;CNL;ZfBED","Cultivar",18,18,1
"N0.HOG0000039","Xa1","","NLR;CNL;ZfBED","Cultivar",11,11,1
"N0.HOG0000039","Xa1","","NLR;CNL;ZfBED","Landrace",13,13,1
"N0.HOG0000039","Xa1","","NLR;CNL;ZfBED","Wild",1,1,1
"N0.HOG0000039","Xo1","","NLR;CNL;ZfBED","Cultivar",11,11,1
"N0.HOG0000039","Xo1","","NLR;CNL;ZfBED","Landrace",13,13,1
"N0.HOG0000039","Xo1","","NLR;CNL;ZfBED","Wild",1,1,1
"N0.HOG0000102","Pi63","Pikahei-1(t)","NLR;CNL","Wild",3,3,1
"N0.HOG0000102","Pi63","Pikahei-1(t)","NLR;CNL","Landrace",7,7,1
"N0.HOG0000102","Pi63","Pikahei-1(t)","NLR;CNL","Cultivar",9,9,1
"N0.HOG0000155","PigmR","Pigm-R6//Pi50//Pi50_NBS4_1","NLR;CNL","Cultivar",25,23,1.08695652173913
"N0.HOG0000155","PigmR","Pigm-R6//Pi50//Pi50_NBS4_1","NLR;CNL","Landrace",30,29,1.03448275862069
"N0.HOG0000155","PigmR","Pigm-R6//Pi50//Pi50_NBS4_1","NLR;CNL","Wild",15,13,1.15384615384615
"N0.HOG0000155","Piz-t","Nbs4-Piz-t","NLR;CNL","Cultivar",25,23,1.08695652173913
"N0.HOG0000155","Piz-t","Nbs4-Piz-t","NLR;CNL","Landrace",30,29,1.03448275862069
"N0.HOG0000155","Piz-t","Nbs4-Piz-t","NLR;CNL","Wild",15,13,1.15384615384615
"N0.HOG0000156","PigmS","Pigm-R8","NLR;CNL","Cultivar",2,2,1
"N0.HOG0000156","PigmS","Pigm-R8","NLR;CNL","Landrace",6,6,1
"N0.HOG0000156","Pi9","Nbs2-Pi9","NLR;CNL","Cultivar",2,2,1
"N0.HOG0000156","Pi9","Nbs2-Pi9","NLR;CNL","Landrace",6,6,1
"N0.HOG0000156","Pi2","Nbs4-Pi","NLR;CNL","Cultivar",2,2,1
"N0.HOG0000156","Pi2","Nbs4-Pi","NLR;CNL","Landrace",6,6,1
"N0.HOG0000174","Pib","","NLR;CNL","Landrace",11,11,1
"N0.HOG0000174","Pib","","NLR;CNL","Cultivar",6,6,1
"N0.HOG0000174","Pib","","NLR;CNL","Wild",14,10,1.4
"N0.HOG0000207","Pit","","NLR;CNL","Cultivar",23,23,1
"N0.HOG0000207","Pit","","NLR;CNL","Landrace",29,29,1
"N0.HOG0000207","Pit","","NLR;CNL","Wild",10,10,1
"N0.HOG0000235","Bph14","","NLR;CNL","Landrace",47,29,1.62068965517241
"N0.HOG0000235","Bph14","","NLR;CNL","Cultivar",46,23,2
"N0.HOG0000235","Bph14","","NLR;CNL","Wild",27,13,2.07692307692308
"N0.HOG0000268","Pia-2","RGA5","NLR;CNL;MIC1","Cultivar",11,11,1
"N0.HOG0000268","Pia-2","RGA5","NLR;CNL;MIC1","Wild",6,6,1
"N0.HOG0000268","Pia-2","RGA5","NLR;CNL;MIC1","Landrace",16,16,1
"N0.HOG0000278","Pia-1","RGA4","NLR;CNL;RGA4","Cultivar",23,23,1
"N0.HOG0000278","Pia-1","RGA4","NLR;CNL;RGA4","Wild",13,13,1
"N0.HOG0000278","Pia-1","RGA4","NLR;CNL;RGA4","Landrace",29,29,1
"N0.HOG0000295","Pi64","","NLR;CNL","Landrace",24,24,1
"N0.HOG0000295","Pi64","","NLR;CNL","Cultivar",12,12,1
"N0.HOG0000295","Pi64","","NLR;CNL","Wild",9,9,1
"N0.HOG0000297","Pi37","","NLR;CNL","Wild",4,4,1
"N0.HOG0000297","Pi37","","NLR;CNL","Landrace",4,4,1
"N0.HOG0000297","Pi37","","NLR;CNL","Cultivar",2,2,1
"N0.HOG0000297","Pish","","NLR;CNL","Wild",4,4,1
"N0.HOG0000297","Pish","","NLR;CNL","Landrace",4,4,1
"N0.HOG0000297","Pish","","NLR;CNL","Cultivar",2,2,1
"N0.HOG0000297","Pi35","","NLR;CNL","Wild",4,4,1
"N0.HOG0000297","Pi35","","NLR;CNL","Landrace",4,4,1
"N0.HOG0000297","Pi35","","NLR;CNL","Cultivar",2,2,1
"N0.HOG0000334","Bph1/9-9","Bph9","NLR;CNL","Wild",24,13,1.84615384615385
"N0.HOG0000334","Bph1/9-9","Bph9","NLR;CNL","Landrace",34,29,1.17241379310345
"N0.HOG0000334","Bph1/9-9","Bph9","NLR;CNL","Cultivar",26,23,1.1304347826087
"N0.HOG0000334","Bph1/9-1","Bph1//Bph10//Bph18//Bph21","NLR;CNL","Wild",24,13,1.84615384615385
"N0.HOG0000334","Bph1/9-1","Bph1//Bph10//Bph18//Bph21","NLR;CNL","Landrace",34,29,1.17241379310345
"N0.HOG0000334","Bph1/9-1","Bph1//Bph10//Bph18//Bph21","NLR;CNL","Cultivar",26,23,1.1304347826087
"N0.HOG0000334","Bph1/9-2","Bph2//Bph26","NLR;CNL","Wild",24,13,1.84615384615385
"N0.HOG0000334","Bph1/9-2","Bph2//Bph26","NLR;CNL","Landrace",34,29,1.17241379310345
"N0.HOG0000334","Bph1/9-2","Bph2//Bph26","NLR;CNL","Cultivar",26,23,1.1304347826087
"N0.HOG0000334","Bph1/9-7","Bph7","NLR;CNL","Wild",24,13,1.84615384615385
"N0.HOG0000334","Bph1/9-7","Bph7","NLR;CNL","Landrace",34,29,1.17241379310345
"N0.HOG0000334","Bph1/9-7","Bph7","NLR;CNL","Cultivar",26,23,1.1304347826087
"N0.HOG0000377","Pi54","Pi-k^h","NLR;CNL","Wild",21,12,1.75
"N0.HOG0000377","Pi54","Pi-k^h","NLR;CNL","Cultivar",24,18,1.33333333333333
"N0.HOG0000377","Pi54","Pi-k^h","NLR;CNL","Landrace",30,21,1.42857142857143
"N0.HOG0000389","Rpr1","","NLR;CNL","Cultivar",8,8,1
