ID	Other_ID	Genpept	CDS	Locus	Subclass	Structure	Coding_exons	Length_AA	Host	cv.	Common_name	Order	ID_PMID	Pathogen	Pathogen_spp	Avr	Avr_GenPept	Avr_PMID	Decoy	Decoy_GenPept	Decoy_PMID	qseqid	HOG
Pid3-A4	Pid3-W5	ACN62387	ORUFI06G14040.1	ORUFI06G14040	NLR;CNL	CNL	1	924	Oryza rufipogon	strain A4	Brownbeard rice	Poales	23384860	Fungi	Magnaporthe oryzae							Pid3-A4	N0.HOG0000508
Pid3-W3					NLR;CNL	CNL	1*	924	Oryza rufipogon	accession 100920	Brownbeard rice	Poales	24681716	Fungi	Magnaporthe oryzae							Pid3-W3	N0.HOG0000508
Pid3-W4					NLR;CNL	CNL	1*	924	Oryza rufipogon	accession 106046	Brownbeard rice	Poales	24681716	Fungi	Magnaporthe oryzae							Pid3-W4	N0.HOG0000508
Xo1					NLR;CNL;ZfBED	CONL	3	1709	Oryza sativa Aromatic Group	cv. Carolina Gold Select	Tropical Japonica rice	Poales	31986137//10.1101/2020.05.26.116731 	Bacteria	Xanthomonas oryzae pv. oryzae|Xanthomonas oryzae pv. oryzicola	pthXo1|tal2g|tal8|tal2|tal1c|tal5|talC|AvrXa10|AvrXa7	WP_041182630|||||||AVX10_XANOO|	27197779				Xo1	N0.HOG0000039
Pid3-I1					NLR;CNL	CNL	1*	924	Oryza sativa aus Group	cv. Kasaleth	Indian rice	Poales	24681716	Fungi	Magnaporthe oryzae							Pid3-I1	N0.HOG0000508
Bph1/9-1	Bph1//Bph10//Bph18//Bph21	AOX14165	KX681949	KF890252	NLR;CNL	CNNL	3	1226	Oryza sativa Indica Group	cv. Mudgo	Indica rice	Poales	27682162//27791169	Arthropods	Nilaparvata lugens							Bph1/9-1	N0.HOG0000334
Bph1/9-2	Bph2//Bph26	BAP28224	AB910360		NLR;CNL	CNNL	3*	1218	Oryza sativa Indica Group	cv. ADR52	Indica rice	Poales	25076167	Arthropods	Nilaparvata lugens							Bph1/9-2	N0.HOG0000334
Bph1/9-7	Bph7	ANC70204	KU221258		NLR;CNL	CNNL	3*	1214	Oryza sativa Indica Group	cv. T12	Indica rice	Poales	27791169	Arthropods	Nilaparvata lugens							Bph1/9-7	N0.HOG0000334
Bph1/9-9	Bph9	ANC90314		KU216221	NLR;CNL	CNNL	3	1206	Oryza sativa Indica Group	cv. Pokkali	Indica rice	Poales	27791169	Arthropods	Nilaparvata lugens							Bph1/9-9	N0.HOG0000334
Bph14		ADB07392		FJ941067	NLR;CNL	CNL	2	1323	Oryza sativa Indica Group		Indica rice	Poales	20018701	Arthropods	Nilaparvata lugens							Bph14	N0.HOG0000235
Pi2	Nbs4-Pi	ABC94599		DQ352453	NLR;CNL	CNL	3	1032	Oryza sativa Indica Group	cv. C101A51	Indica rice	Poales	17073304	Fungi	Magnaporthe oryzae							Pi2	N0.HOG0000156
