"","n.sites","n.biallelic.sites","n.gaps","n.unknowns","n.valid.sites","n.polyallelic.sites","trans.transv.ratio","nuc.diversity.within_Total","hap.diversity.within_Total","Tajima.D_Total","nuc.diversity.within_Landrace","nuc.diversity.within_Wild","hap.diversity.within_Landrace","hap.diversity.within_Wild","Tajima.D_Cultivar","Tajima.D_Landrace","Tajima.D_Wild","HOG","nuc.diversity.within_Cultivar","hap.diversity.within_Cultivar"
"1",4161,104,1288,0,2865,8,1.6,40.6888888888889,0.866666666666667,0.5294546259304,36.8666666666667,55,0.866666666666667,1,NA,0.0137413301928062,NA,"N0.HOG0000000",NA,NA
"2",1655,29,241,0,1414,0,1.23076923076923,19.3333333333333,1,NA,28,NA,1,NA,NA,NA,NA,"N0.HOG0000001",NA,NA
"3",2841,243,884,0,1957,0,1.05932203389831,61.5,0.785714285714286,-1.88382705960453,0,160,0,1,NA,NA,NA,"N0.HOG0000002",1,1
"4",4208,152,3063,0,1137,8,1.3030303030303,30.0434782608696,0.739130434782609,-1.0474465020102,31.4888888888889,NA,0.777777777777778,NA,-1.06412154584054,-0.259042062853187,NA,"N0.HOG0000003",30.8974358974359,0.705128205128205
"5",3511,48,2468,0,1042,1,1.52631578947368,6.98814229249012,0.944664031620553,-1.8064379055518,8.31111111111111,6.42222222222222,0.911111111111111,0.955555555555556,NA,-1.16150292242475,-1.43682541138826,"N0.HOG0000004",4,1
"6",3106,181,2333,0,752,21,1.6231884057971,68,0.893939393939394,0.631585735323319,71,60.8333333333333,0.833333333333333,1,1.33556099148733,0.261153624572052,-0.574292715451808,"N0.HOG0000005",69.5,0.833333333333333
"7",3546,22,2196,0,1350,0,1.2,6.91666666666667,0.764492753623188,0.640271186285589,8.4,8.16666666666667,0.8,0.833333333333333,1.62911222516519,0.779860414230649,-0.654458861693385,"N0.HOG0000006",4,0.5
"8",6650,301,2062,0,4588,0,1.24626865671642,200.666666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000008",301,1
"9",6239,79,5823,0,406,10,0.975,26.2960812772134,0.921625544267054,1.78713175311006,30.1581027667984,21.1428571428571,0.932806324110672,0.952380952380952,1.51348758162195,1.92141138154667,-1.17955373546515,"N0.HOG0000010",23.8528138528139,0.896103896103896
"10",3162,130,189,0,2973,0,0.857142857142857,130,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000011",NA,NA
"11",3212,301,1929,0,1276,7,1.64035087719298,137.677978883861,0.720965309200603,3.85384299107407,137.62,171.4,0.736666666666667,1,3.63215656411826,3.42332814317142,1.54472662049285,"N0.HOG0000013",142.428571428571,0.567099567099567
"12",3150,612,90,0,3060,0,1.21739130434783,612,1,NA,NA,612,NA,1,NA,NA,NA,"N0.HOG0000014",NA,NA
"13",4197,8,4164,0,33,0,3,1.37910798122066,0.614241001564945,-0.420416260672483,1.48841354723708,2.19047619047619,0.668449197860963,0.714285714285714,-0.288121823793567,0.039604698915878,-1.20797512524655,"N0.HOG0000015",1.11827956989247,0.535483870967742
"14",3055,15,536,0,2519,0,2,4.03636363636364,0.963636363636364,-0.939212551702371,0,4.09523809523809,0,0.952380952380952,NA,NA,-0.475297394587653,"N0.HOG0000017",2,1
"15",3543,229,2646,0,861,36,1.36082474226804,72.5071225071225,0.888888888888889,0.868691296672941,63.3846153846154,87.3333333333333,0.884615384615385,0.857142857142857,0.205491368247732,0.751229912931426,0.955672159404515,"N0.HOG0000021",46.4761904761905,0.80952380952381
"16",3106,85,395,0,2711,0,1.36111111111111,85,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000022",NA,NA
"17",3118,184,1969,0,1117,32,1.59154929577465,61.352380952381,0.933333333333333,0.372070630141804,62.2222222222222,53.8333333333333,0.944444444444444,0.833333333333333,NA,0.660618619911342,-0.0322886775123573,"N0.HOG0000023",87,1
"18",3106,135,1238,0,1862,6,1.01492537313433,55.6111111111111,0.944444444444444,0.619432304630337,47.5,50.5,0.833333333333333,0.833333333333333,NA,2.01450843951093,2.27911427039908,"N0.HOG0000024",NA,NA
"19",3107,316,197,0,2908,2,1.27338129496403,107.219047619048,0.923809523809524,0.458253847082485,102.4,306,0.945454545454545,1,NA,-0.187345751195531,NA,"N0.HOG0000025",0,0
"20",3132,54,2151,0,980,1,1.07692307692308,14.9977011494253,0.868965517241379,0.37517879763146,17.9333333333333,22,0.9,1,0.202686355547576,0.907512872958164,NA,"N0.HOG0000026",4.8,0.622222222222222
"21",2028,132,348,0,1680,0,1.35714285714286,132,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000027",NA,NA
"22",3102,7,129,0,2973,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000028",7,1
"23",2193,2,105,0,2088,0,1,1.33333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000029",1,1
"24",2949,7,1983,0,966,0,0.75,7,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000031",NA,NA
"25",2298,38,1992,0,305,1,1.71428571428571,13.4444444444444,0.888888888888889,-0.194344461862795,NA,NA,NA,NA,-0.0378693122956789,NA,NA,"N0.HOG0000032",13.7857142857143,0.857142857142857
