Pair_No	Sensor	Executor	clade_S	clade_E
P1	HOG_391	HOG_429	S3	E1
P2	HOG_783	HOG_838	S3	E1
P3	HOG_139	HOG_312	S3	E1
P4	HOG_140	HOG_312	S3	E1
P5	HOG_137	HOG_116	S3	E1
P6	HOG_139	HOG_120	S3	E1
P7	HOG_140	HOG_123	S3	E1
P8	HOG_746	HOG_122	S3	E1
P9	HOG_140	HOG_119	S3	E1
P10	HOG_142	HOG_116	S3	E1
P11	HOG_140	HOG_116	S3	E1
P12	HOG_140	HOG_122	S3	E1
P13	HOG_746	HOG_312	S3	E1
P14	HOG_140	HOG_120	S3	E1
P15	HOG_141	HOG_116	S3	E1
P16	HOG_746	HOG_120	S3	E1
P17	HOG_891	HOG_838	S3	E1
P18	HOG_140	HOG_117	S3	E1
P19	HOG_280	HOG_637	S2	E2
P20	HOG_273	HOG_279	S2	E2
P21	HOG_200	HOG_671	S2	E2
P22	HOG_269	HOG_278	S2	E2
P23	HOG_268	HOG_278	S2	E2
P24	HOG_236	HOG_637	S2	E2
P25	HOG_197	HOG_779	S2	E2
P26	HOG_418	HOG_640	S2	E2
P27	HOG_418	HOG_869	S2	E2
P28	HOG_589	HOG_795	S2	E2
P29	HOG_272	HOG_279	S2	E2
P30	HOG_281	HOG_637	S2	E2
P31	HOG_200	HOG_779	S2	E2
P32	HOG_198	HOG_671	S2	E2
P33	HOG_368	HOG_844	S2	E2
P34	HOG_241	HOG_678	S2	E2
P35	HOG_198	HOG_779	S2	E2
P36	HOG_759	HOG_779	S2	E2
P37	HOG_282	HOG_637	S2	E2
P38	HOG_798	HOG_803	S2	E2
P39	HOG_196	HOG_779	S2	E2
P40	HOG_496	HOG_779	S2	E2
P41	HOG_270	HOG_278	S2	E2
P42	HOG_236	HOG_779	S2	E2
P43	HOG_368	HOG_343	S2	E2
P44	HOG_689	HOG_409	S2	E2
P45	HOG_496	HOG_124	S2	E2
P46	HOG_197	HOG_127	S2	E2
P47	HOG_833	HOG_716	S2	E2
P48	HOG_198	HOG_128	S2	E2
P49	HOG_201	HOG_128	S2	E2
P50	HOG_848	HOG_671	S2	E2
P51	HOG_759	HOG_125	S2	E2
P52	HOG_197	HOG_128	S2	E2
P53	HOG_240	HOG_125	S2	E2
P54	HOG_814	HOG_343	S2	E2
P55	HOG_848	HOG_128	S2	E2
P56	HOG_199	HOG_128	S2	E2
P57	HOG_238	HOG_126	S2	E2
P58	HOG_814	HOG_802	S2	E2
P59	HOG_765	HOG_716	S2	E2
P60	HOG_848	HOG_127	S2	E2
P61	HOG_717	HOG_678	S2	E2
P62	HOG_196	HOG_126	S2	E2
P63	HOG_197	HOG_126	S2	E2
P64	HOG_641	HOG_800	S1	E2
P65	HOG_641	HOG_619	S1	E2
P66	HOG_412	HOG_233	S1	E2
P67	HOG_411	HOG_233	S1	E2
P68	HOG_412	HOG_231	S1	E2
P69	HOG_410	HOG_230	S1	E2
P70	HOG_411	HOG_231	S1	E2
P71	HOG_411	HOG_230	S1	E2
P72	HOG_410	HOG_228	S1	E2
P73	HOG_672	HOG_302	S1	E1
